Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
North Western,Kurunegala,Mawathagama,31/05/2021,421
North Western,Kurunegala,Narammala,31/05/2021,507
North Western,Kurunegala,Nikaweratiya,31/05/2021,413
North Western,Kurunegala,Panduwasnuwara-West,29/05/2021,180
North Western,Kurunegala,Panduwasnuwara -East,30/05/2021,68
North Western,Kurunegala,Pannala,31/05/2021,866
North Western,Kurunegala,Polgahawela,31/05/2021,356
North Western,Kurunegala,Polpithigama,31/05/2021,193
North Western,Kurunegala,Rideegama,31/05/2021,312
North Western,Kurunegala,Udubaddawa,31/05/2021,139
North Western,Kurunegala,Wariyapola,31/05/2021,319
North Western,Kurunegala,Weerambugedara,28/05/2021,65
North Western,Puttalam,Anamaduwa,31/05/2021,143
North Western,Puttalam,Arachchikattuwa,28/05/2021,100
North Western,Puttalam,Chilaw,31/05/2021,617
North Western,Puttalam,Dankotuwa,31/05/2021,569
North Western,Puttalam,Kalpitiya,28/05/2021,95
North Western,Puttalam,Karuwalagaswewa,30/05/2021,18
North Western,Puttalam,Madampe,30/05/2021,225
North Western,Puttalam,Mahawewa,28/05/2021,66
North Western,Puttalam,Mundalama,28/05/2021,138
North Western,Puttalam,Nattandiya,31/05/2021,736
North Western,Puttalam,Pallama,11/5/2021,97
North Western,Puttalam,Puttalam,31/05/2021,115
North Western,Puttalam,Wennappuwa,27/05/2021,377
North Western,Puttalam,QC Club dolphin Hotel,11/5/2021,19
North Western,Puttalam,"QC CAROLINA BEACH
HOTEL",16/12/2020,2
North Western,Puttalam,"WEERAHENA WEST, MARAWILA",22/01/2021,1
North Western,Puttalam,CLUB PALM BAY,14/05/2021,21
North Western,Puttalam,WIND BEACH HOTEL,3/5/2021,5
North Western,Puttalam,RANWELLY HOTEL,6/5/2021,4
North Western,Puttalam,NOROCHCHOLAE QC,27/05/2021,64
North Western,Puttalam,QC ALANKUDA,9/4/2021,21
Central,Kandy,Akurana,31/05/2021,366
Central,Kandy,Bambaradeniya,31/05/2021,96
Central,Kandy,Doluwa,28/05/2021,44
Central,Kandy,Galagedara,30/05/2021,71
Central,Kandy,Galaha (Delthota),31/05/2021,68
Central,Kandy,Gampola (Udapalatha),31/05/2021,405
Central,Kandy,Ganga Ihala (Kurunduwatta),30/05/2021,64
Central,Kandy,Gangawatakorale,31/05/2021,349
Central,Kandy,Hasalaka,31/05/2021,124
Central,Kandy,Hatharaliyadda,30/05/2021,72
Central,Kandy,Kandy MC,31/05/2021,1563
Central,Kandy,Kundasale,31/05/2021,767
Central,Kandy,"Medadumbara
(Medamahanuwara)",31/05/2021,212
Central,Kandy,Menikhinna,31/05/2021,422
Central,Kandy,Panvila,31/05/2021,106
Central,Kandy,Pasbage (Nawalapitiya),31/05/2021,208
Central,Kandy,Poojapitiya,31/05/2021,222
Central,Kandy,Thalathuoya(Pathahewaheta),31/05/2021,150
Central,Kandy,Udadumbara,31/05/2021,152
Central,Kandy,Udunuwara,31/05/2021,107
Central,Kandy,Wattegama (Pathadumbara),31/05/2021,453
Central,Kandy,Werellagama (Harispattuwa),29/05/2021,244
Central,Kandy,Yatinuwara,31/05/2021,337
Central,Kandy,Peradeniya QC(PANIDENIYA),16/12/2020,12
Central,Kandy,Kundasale Qc,11/3/2021,30
Central,Kandy,POLICE QC HANTHANA,7/12/2020,1
Central,Kandy,SUISSE QC,21/03/2021,27
Central,Kandy,HANTHANA SISILA QC,19/12/2020,1
Central,Kandy,SLPC KUNDASALE QC,8/1/2021,18
Central,Kandy,GANNORUWA QC,4/5/2021,12
Central,Kandy,"QC OZO HOTEL, KANDY",29/03/2021,8
